pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-1227 b,TOI-1227,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,2.736.397.000,11.000,-11.000,0,88.600,5.400,-5.700,0,9.572,751,-583,0,854,67,-52,0,,,,,,,,,,,,,,3.21,0.38,-0.36,0,,,,,0,,,,,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,M4.5V-M5V,3072.00,74.00,-74.00,0,0.56,0.03,-0.03,0,0.17,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h27m04.17s,1.867.673.635,-72d27m06.66s,-724.518.501,1.006.410.000,5.730.000,-5.660.000,169.990.000,11.330.000,-11.330.000,110.340.000,210.000,-210.000,152.514.000,8.480,-8.480,2022-03-28,2022-04,2022-03-28
TOI-1231 b,TOI-1231,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,2.424.558.600,6.400,-6.600,0,128.800,2.100,-2.200,0,3.650,160,-150,0,326,14,-13,0,1.540.000,330.000,-330.000,0,4.845,1.038,-1.038,0,Mass,87.000,120.000,-61.000,0,1.93,0.10,-0.10,0,330,4,-4,0,0,492.000,27.000,-24.000,0,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,M3 V,3553.00,51.00,-52.00,0,0.48,0.01,-0.01,0,0.48,0.02,-0.02,0,41,69,-63,0,[Fe/H],4.77,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h26m59.34s,1.567.472.600,-52d28m04.34s,-524.678.724,276.227.000,609.000,-609.000,123.600.000,2.000.000,-2.000.000,80.690.000,260.000,-260.000,113.600.000,9.220,-9.220,2021-11-09,2021-09,2021-11-09
TOI-1235 b,TOI-1235,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,344.471.400,9.000,-9.000,0,,,,,1.690,80,-80,0,151,7,-7,0,669.000,67.000,-69.000,0,2.105,211,-217,0,Mass,49.000,72.000,-35.000,0,,,,,,,,,0,,,,,<a refstr=BLUHM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A.132B/abstract target=ref>Bluhm et al. 2020</a>,M0.5 V,3997.00,51.00,-51.00,0,0.62,0.02,-0.02,0,0.63,0.02,-0.02,0,330,160,-160,0,[Fe/H],4.64,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h08m52.38s,1.522.182.549,+69d16m35.83s,692.766.204,396.345.000,478.000,-478.000,114.950.000,560.000,-560.000,78.930.000,230.000,-230.000,108.492.000,5.190,-5.190,2023-07-10,2022-09,2023-07-10
TOI-1244 b,TOI-1244,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,640.031.648,593,-590,0,60.694,2.247,-2.430,0,2.467,240,-211,0,220,21,-19,0,,,,,,,,,,,,,,56.63,12.29,-10.36,0,,,,,0,,,,,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,4599.00,123.00,-123.00,0,0.72,0.05,-0.05,0,0.73,0.09,-0.09,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h05m07.09s,2.562.795.590,+69d31m08.73s,695.190.930,1.025.510.000,2.400.000,-2.400.000,119.290.000,800.000,-800.000,94.220.000,200.000,-200.000,116.765.000,2.460,-2.460,2024-12-10,2024-11,2024-12-10
TOI-1246 b,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,430.744.000,2.000,-2.000,0,49.000,2.000,-2.000,0,3.010,60,-60,0,269,5,-5,0,810.000,110.000,-110.000,0,2.549,346,-346,0,Mass,,,,,196.00,,,0,955,,,0,0,,,,,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151.00,100.00,-100.00,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,170,60,-60,0,[Fe/H],4.40,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,2.511.158.702,+70d25m47.97s,704.299.917,1.694.220.000,6.730.000,-6.690.000,116.320.000,240.000,-240.000,99.070.000,360.000,-360.000,117.291.000,1.590,-1.590,2022-05-03,2022-04,2022-05-03
TOI-1246 c,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,590.413.700,1.400,-1.400,0,61.000,1.000,-1.000,0,2.451,138,-88,0,219,12,-8,0,910.000,130.000,-120.000,0,2.863,409,-378,0,Mass,0,,,0,,,,,862,16,-15,0,0,,,,,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5213.00,71.00,-67.00,0,0.86,0.02,-0.02,0,0.89,0.03,-0.03,0,168,57,-58,0,[Fe/H],4.51,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,2.511.158.702,+70d25m47.97s,704.299.917,1.694.220.000,6.730.000,-6.690.000,116.320.000,240.000,-240.000,99.070.000,360.000,-360.000,117.291.000,1.590,-1.590,2024-07-22,2024-06,2024-07-22
TOI-1246 d,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,1.865.487.400,5.500,-5.500,0,132.000,3.000,-3.000,0,3.431,150,-116,0,306,13,-10,0,540.000,190.000,-190.000,0,1.699,598,-598,0,Mass,0,,,0,,,,,588,11,-10,0,1,,,,,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5213.00,71.00,-67.00,0,0.86,0.02,-0.02,0,0.89,0.03,-0.03,0,168,57,-58,0,[Fe/H],4.51,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,2.511.158.702,+70d25m47.97s,704.299.917,1.694.220.000,6.730.000,-6.690.000,116.320.000,240.000,-240.000,99.070.000,360.000,-360.000,117.291.000,1.590,-1.590,2024-07-22,2024-06,2024-07-22
TOI-1246 e,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,3.792.548.000,16.000,-16.000,0,212.000,4.000,-4.000,0,3.514,269,-182,0,314,24,-16,0,1.450.000,230.000,-230.000,0,4.562,724,-724,0,Mass,0,,,0,,,,,464,8,-8,0,1,,,,,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5213.00,71.00,-67.00,0,0.86,0.02,-0.02,0,0.89,0.03,-0.03,0,168,57,-58,0,[Fe/H],4.51,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,2.511.158.702,+70d25m47.97s,704.299.917,1.694.220.000,6.730.000,-6.690.000,116.320.000,240.000,-240.000,99.070.000,360.000,-360.000,117.291.000,1.590,-1.590,2024-07-22,2024-06,2024-07-22
TOI-1248 b,TOI-1248,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,436.015.610,110,-110,0,51.000,1.000,-1.000,0,6.808,117,-120,0,607,10,-11,0,2.740.000,360.000,-350.000,0,8.621,1.133,-1.101,0,Mass,0,,,0,,,,,952,14,-14,0,0,,,,,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5205.00,56.00,-62.00,0,0.87,0.01,-0.01,0,0.90,0.03,-0.03,0,223,57,-56,0,[Fe/H],4.51,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h16m05.66s,2.590.235.918,+63d06m20.19s,631.056.072,1.687.350.000,6.020.000,-5.970.000,118.060.000,460.000,-460.000,98.700.000,160.000,-160.000,116.512.000,2.210,-2.210,2024-07-23,2024-06,2024-07-23
TOI-1249 b,TOI-1249,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,1.307.915.100,5.400,-5.400,0,109.000,2.000,-2.000,0,3.271,307,-187,0,292,27,-17,0,1.190.000,520.000,-510.000,0,3.744,1.636,-1.605,0,Mass,0,,,0,,,,,727,12,-11,0,0,,,,,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5497.00,69.00,-67.00,0,0.98,0.02,-0.02,0,01.01,0.03,-0.03,0,297,57,-59,0,[Fe/H],4.46,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h22m14.78s,2.005.615.762,+66d18m30.72s,663.085.331,1.394.900.000,5.370.000,-5.330.000,110.890.000,90.000,-90.000,91.260.000,220.000,-220.000,106.987.000,2.430,-2.430,2024-07-22,2024-06,2024-07-22
TOI-125 b,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,465.382.000,33.000,-31.000,0,51.860,860,-770,0,2.726,75,-75,0,243,7,-7,0,950.000,88.000,-88.000,0,2.989,277,-277,0,Mass,194.000,41.000,-36.000,0,185.00,9.00,-9.00,0,1037,11,-11,0,0,87.000,4.300,-4.000,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-20,30,-30,0,[Fe/H],4.52,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,235.934.253,-66d40m34.86s,-666.763.495,1.110.590.000,4.440.000,-4.400.000,110.230.000,80.000,-80.000,89.950.000,210.000,-210.000,107.180.000,4.110,-4.110,2020-02-06,2020-03,2020-02-13
TOI-125 c,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,915.059.000,70.000,-82.000,0,81.400,1.300,-1.300,0,2.759,100,-100,0,246,9,-9,0,663.000,99.000,-99.000,0,2.086,311,-311,0,Mass,66.000,70.000,-47.000,0,77.59,3.31,-3.31,0,828,9,-9,0,0,89.100,6.000,-5.700,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-20,30,-30,0,[Fe/H],4.52,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,235.934.253,-66d40m34.86s,-666.763.495,1.110.590.000,4.440.000,-4.400.000,110.230.000,80.000,-80.000,89.950.000,210.000,-210.000,107.180.000,4.110,-4.110,2020-02-06,2020-03,2020-02-13
TOI-125 d,TOI-125,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,1.998.000.000,500.000,-560.000,0,137.000,2.200,-2.200,0,2.930,170,-170,0,261,15,-15,0,1.360.000,120.000,-120.000,0,4.279,378,-378,0,Mass,168.000,88.000,-62.000,0,26.70,1.40,-1.40,0,638,7,-7,0,0,100.000,12.000,-11.000,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-20,30,-30,0,[Fe/H],4.52,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,235.934.253,-66d40m34.86s,-666.763.495,1.110.590.000,4.440.000,-4.400.000,110.230.000,80.000,-80.000,89.950.000,210.000,-210.000,107.180.000,4.110,-4.110,2020-02-06,2020-03,2020-02-13
TOI-1259 A b,TOI-1259 A,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>,347.797.800,190,-170,0,40.700,1.140,-1.100,0,11.456,336,-303,0,1.022,30,-27,0,14.016.233,1.557.359,-1.493.794,0,44.100,4.900,-4.700,0,Mass,0,,,0,,,,,963,21,-21,0,0,2.675.900,9.900,-10.000,0,<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>,,4775.00,100.00,-100.00,0,0.71,0.02,-0.02,0,0.74,0.06,-0.06,0,-500,500,-500,0,[Fe/H],4.61,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h48m24.04s,2.821.001.665,+79d15m23.31s,792.564.761,1.181.060.000,3.750.000,-3.720.000,120.790.000,460.000,-460.000,96.190.000,180.000,-180.000,118.104.000,8.520,-8.520,2021-07-12,2021-11,2021-07-12
TOI-1260 b,TOI-1260,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,312.746.300,500,-500,0,36.700,1.100,-1.100,0,2.410,50,-50,0,215,4,-4,0,856.000,154.000,-154.000,0,2.693,485,-485,0,Mass,0,,,0,95.58,0.07,-0.07,0,871,24,-24,0,0,108.200,3.700,-3.700,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,,4227.00,85.00,-85.00,0,0.67,0.01,-0.01,0,0.68,0.10,-0.06,0,-100,70,-70,0,[Fe/H],4.57,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m34.58s,1.571.440.712,+65d51m15.11s,658.541.986,735.977.000,1.607.000,-1.601.000,119.220.000,340.000,-340.000,89.500.000,220.000,-220.000,115.743.000,5.360,-5.360,2022-12-17,2022-12,2022-12-17
TOI-1260 c,TOI-1260,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,749.313.400,2.000,-2.000,0,65.700,2.000,-2.000,0,2.760,70,-70,0,246,6,-6,0,1.320.000,423.000,-423.000,0,4.153,1.331,-1.331,0,Mass,0,,,0,29.81,0.05,-0.05,0,651,18,-18,0,0,142.100,5.500,-5.500,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,,4227.00,85.00,-85.00,0,0.67,0.01,-0.01,0,0.68,0.10,-0.06,0,-100,70,-70,0,[Fe/H],4.57,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m34.58s,1.571.440.712,+65d51m15.11s,658.541.986,735.977.000,1.607.000,-1.601.000,119.220.000,340.000,-340.000,89.500.000,220.000,-220.000,115.743.000,5.360,-5.360,2022-12-17,2022-12,2022-12-17
TOI-1260 d,TOI-1260,1,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,1.660.816.400,8.300,-8.300,0,111.600,3.300,-3.300,0,3.120,80,-80,0,278,7,-7,0,1.184.000,779.000,-779.000,0,3.725,2.451,-2.451,0,Mass,0,,,0,10.32,0.07,-0.07,0,499,14,-14,0,0,180.800,7.800,-7.800,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,,4227.00,85.00,-85.00,0,0.67,0.01,-0.01,0,0.68,0.10,-0.06,0,-100,70,-70,0,[Fe/H],4.57,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m34.58s,1.571.440.712,+65d51m15.11s,658.541.986,735.977.000,1.607.000,-1.601.000,119.220.000,340.000,-340.000,89.500.000,220.000,-220.000,115.743.000,5.360,-5.360,2022-12-17,2022-12,2022-12-17
TOI-1266 b,TOI-1266,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CLOUTIER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.5464C/abstract target=ref>Cloutier et al. 2024</a>,1.089.484.100,1.100,-1.100,0,72.800,1.100,-1.100,0,2.620,110,-110,0,234,10,-10,0,423.000,69.000,-69.000,0,1.331,217,-217,0,Mass,220.000,,,1,5.50,1.10,-1.00,0,425,20,-19,0,1,309.000,14.000,-14.000,0,<a refstr=CLOUTIER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.5464C/abstract target=ref>Cloutier et al. 2024</a>,M3 V,3618.00,157.00,-157.00,0,0.44,0.01,-0.01,0,0.43,0.02,-0.02,0,-195,115,-115,0,[Fe/H],4.79,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h11m59.18s,1.979.965.833,+65d50m01.31s,658.336.973,360.118.000,295.000,-295.000,129.410.000,490.000,-490.000,88.400.000,200.000,-200.000,121.222.000,2.490,-2.490,2024-03-25,2024-01,2024-03-25
TOI-1266 c,TOI-1266,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CLOUTIER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.5464C/abstract target=ref>Cloutier et al. 2024</a>,1.880.161.100,5.300,-5.300,0,104.700,1.600,-1.600,0,2.130,120,-120,0,190,11,-11,0,288.000,80.000,-80.000,0,906,252,-252,0,Mass,340.000,,,1,2.70,0.50,-0.40,0,354,16,-16,0,1,205.000,18.000,-17.000,0,<a refstr=CLOUTIER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.5464C/abstract target=ref>Cloutier et al. 2024</a>,M3 V,3618.00,157.00,-157.00,0,0.44,0.01,-0.01,0,0.43,0.02,-0.02,0,-195,115,-115,0,[Fe/H],4.79,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h11m59.18s,1.979.965.833,+65d50m01.31s,658.336.973,360.118.000,295.000,-295.000,129.410.000,490.000,-490.000,88.400.000,200.000,-200.000,121.222.000,2.490,-2.490,2024-03-25,2024-01,2024-03-25
TOI-1268 b,TOI-1268,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>,815.770.940,450,-450,0,71.100,6.300,-5.800,0,9.100,600,-600,0,812,54,-54,0,9.640.000,820.000,-830.000,0,30.331,2.580,-2.611,0,Mass,105.000,40.000,-39.000,0,,,,,919,30,-31,0,0,818.600,20.500,-19.200,0,<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>,K1-K2,5300.00,100.00,-100.00,0,0.92,0.06,-0.06,0,0.96,0.04,-0.04,0,360,60,-60,0,[Fe/H],4.55,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h13m33.26s,1.983.885.831,+62d18m19.37s,623.053.799,1.095.570.000,5.450.000,-5.400.000,109.200.000,80.000,-80.000,89.110.000,140.000,-140.000,106.920.000,7.390,-7.390,2022-03-28,2022-01,2022-03-28
TOI-1269 b,TOI-1269,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,425.299.130,680,-680,0,49.600,900,-1.000,0,2.401,150,-74,0,214,13,-7,0,640.000,300.000,-290.000,0,2.014,944,-912,0,Mass,0,,,0,,,,,1005,15,-14,0,0,,,,,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5499.00,63.00,-60.00,0,0.85,0.01,-0.01,0,0.90,0.02,-0.03,0,-49,58,-57,0,[Fe/H],4.53,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h38m47.19s,2.496.966.397,+64d33m33.05s,645.591.810,1.721.380.000,6.960.000,-6.900.000,116.180.000,340.000,-340.000,98.900.000,190.000,-190.000,114.712.000,8.660,-8.660,2024-07-23,2024-06,2024-07-23
