SOURCE_ID,phot_g_mean_mag,bp_rp,star_type
4656223459200978048,15.930919,0.7411699,CEP
4656224730511271680,16.22559,0.94449234,CEP
4656244620504676992,17.439144,0.6622009,CEP
2070122701367046272,13.046117,3.2153025,CEP
2070181319081749504,13.359775,4.710394,CEP
4656278537863562368,16.202562,0.81812286,CEP
4656279667438493952,18.26904,0.756691,CEP
4656292109960161152,15.432072,0.6713352,CEP
4656298152968750080,15.993021,0.76570415,CEP
2070211757509827840,17.967484,4.324259,CEP
2070224337474904064,9.4566965,2.0540714,CEP
2070240520911836928,17.757694,4.6932983,CEP
5992612325872331776,20.226645,2.1911716,CEP
4655793928111724416,16.012846,0.67706394,CEP
4655797295366027904,16.018614,0.67136574,CEP
4655801109299361024,15.379447,0.955533,CEP
4655802277528147456,15.226519,0.7266302,CEP
4051440558795465600,13.652453,1.4456892,CEP
4656427349891031936,14.726065,1.2647457,CEP
1809113480038970368,17.482857,1.6333199,CEP
1993916856117284864,11.30037,1.5582333,CEP
5881792750773412864,14.442894,1.4455557,CEP
5881797496796974592,16.941261,1.9766455,CEP
4656334853471397248,14.983022,0.91888714,CEP
4656338048928924160,15.532846,0.7995367,CEP
4656341313103966720,18.10311,0.84723854,CEP
5881841202392784256,17.101652,2.5128279,CEP
1994462866719961216,9.050314,1.45642,CEP
6653628644789921408,12.588427,0.5852518,CEP
4116810545125634432,15.288936,1.8858347,CEP
5339554336583678464,8.1157875,1.0021987,CEP
4116820887409126912,16.85089,1.9298372,CEP
4116832153018419200,14.955427,2.2132568,CEP
5932877233596541056,16.79739,5.2331266,CEP
5932879565692277120,12.582398,2.85849,CEP
5932882731154933888,13.218521,3.12356,CEP
1163808392004959232,17.30617,0.6735363,CEP
4116883452108512128,16.69369,2.0960464,CEP
4116885101368691200,15.851825,1.9638739,CEP
5845572265108049408,14.667844,1.1151066,CEP
5932951828651588096,17.06001,2.6005888,CEP
5845741383716281216,10.942982,1.3618832,CEP
2037378523542899840,14.036884,1.6213341,CEP
5952775576537356544,6.316231,1.1199303,CEP
5593427031607304704,12.083286,0.9389849,CEP
5593545405208794240,16.694775,2.6539946,CEP
5593641268879096448,17.639538,2.8778343,CEP
5593684562150700544,16.394188,2.3252773,CEP
5593836737129248000,18.59704,2.610609,CEP
5594091823824942464,11.671998,1.6708832,CEP
5594100246268225280,13.356656,1.8286915,CEP
3133403359422215168,15.142454,2.1206913,CEP
3133724790473905408,16.965841,2.1615505,CEP
3133819112256378368,10.196047,1.5085535,CEP
3134002107923090944,12.946562,1.6219778,CEP
5881952871520184960,15.233222,2.0769787,CEP
3134229741190203520,11.929713,1.5192108,CEP
3134257439437751552,10.877625,1.3635712,CEP
487965876047609472,13.538609,1.7872486,CEP
5881995546318024704,8.663814,1.3682561,CEP
455914562346088704,6.000012,1.110086,CEP
488753263810889088,12.222969,1.9116745,CEP
4280591460669990656,16.652636,2.3077545,CEP
3291491450496573824,14.254642,1.0079613,CEP
4039938769393211136,12.245166,1.692421,CEP
4280905543011090560,14.962506,4.87317,CEP
5793723454238778624,17.503992,1.3236752,CEP
5871337533414531328,14.847958,1.460926,CEP
5350349650948934272,18.639292,2.8974361,CEP
5350360646081415168,15.693261,2.5727987,CEP
5350368102144390912,13.733092,3.0059786,CEP
4281352902507704448,11.9808855,4.612565,CEP
5350381433723501952,16.43736,4.2781696,CEP
5253661725170126720,14.535126,1.733798,CEP
5350409780509559040,12.226522,3.4883728,CEP
5994716310108869888,17.69381,1.9734535,CEP
5253717937706836480,11.683173,1.7637548,CEP
5350416137060308608,17.513365,3.5540485,CEP
5350418675353194624,17.854015,3.051424,CEP
5350425963937906432,13.221231,2.6495085,CEP
5350437337010644608,16.951183,3.5740738,CEP
5350441185301295104,15.512559,2.9676142,CEP
4281590774975851776,13.503864,5.499671,CEP
5253794285035160960,15.855612,1.8937998,CEP
5253795384552296448,8.865255,1.1699877,CEP
5350459803962875520,13.013701,2.3990593,CEP
5241670898033399680,15.932268,2.1921806,CEP
5961446050378350848,18.088669,2.5945873,CEP
5835124087174043136,6.175861,1.1967578,CEP
4268198624632052352,10.948411,1.4327574,CEP
5350519869105648640,16.040203,3.1456404,CEP
5350555981191990400,11.839934,2.5801277,CEP
5350566873221491072,15.932423,3.9490328,CEP
5241757003545248384,14.370287,1.2828407,CEP
5241774939322644864,17.65822,2.8270187,CEP
5241780677399802624,10.349283,1.640234,CEP
5350606696159111040,15.419107,5.214633,CEP
423454573911964544,14.033802,1.3062792,CEP
5241803217391469568,14.519752,1.8042841,CEP
5241804518715438336,12.234319,1.8010206,CEP
5241808611832326272,16.786436,2.2486944,CEP
4268331150080887168,16.27713,3.1313372,CEP
5350654937233412864,13.03627,3.2458477,CEP
5350688609777998720,12.406444,2.9585247,CEP
4268429625087286144,17.92705,2.6469822,CEP
4268430174880221312,16.50399,2.5608587,CEP
5961525730622662656,16.637154,1.9177771,CEP
4268436703231121536,15.316583,2.5925922,CEP
4103767240452681728,13.139614,2.0481977,CEP
5350807558878393088,17.739712,3.723259,CEP
5350844156323309952,14.48889,2.6524544,CEP
4189050211325803008,17.76283,0.85048866,CEP
5350852677538959104,11.045969,1.9569855,CEP
4189721291380078464,15.208521,0.9104738,CEP
4190143160245024256,7.5933595,1.1532717,CEP
5577329081864722176,10.029096,1.0671349,CEP
1944255076986187776,12.071992,1.1475887,CEP
6736843159433588096,12.811248,1.1274548,CEP
2054961363740203520,14.383744,3.2907553,CEP
2054966758219377024,16.2232,3.3468008,CEP
2197757309661690880,9.257111,1.2587023,CEP
2055014277739104896,9.016481,1.7592039,CEP
2055076881193162496,12.979786,3.432807,CEP
2055105812094099456,15.67487,3.3681774,CEP
2055115673339101056,16.351372,3.4846191,CEP
2055122987639665664,12.330799,2.2262192,CEP
4094784475310672128,7.682094,1.7792397,CEP
4094790655733024512,18.112555,4.8624687,CEP
5334575782303770624,15.628994,3.2576847,CEP
3787694451041716992,15.547024,0.63567543,CEP
5334591003669216000,9.745191,1.328064,CEP
5334598494092788736,13.15116,2.5162659,CEP
5334601998787406464,17.53636,4.0773315,CEP
5334606293754316928,16.296003,3.745428,CEP
2055252768680975232,16.16222,5.0495625,CEP
2055255306992598656,12.330291,2.4912643,CEP
2055261736573837184,17.765415,3.1071644,CEP
5336168734141166464,15.54685,1.673253,CEP
5336171517280056448,10.410869,0.99380016,CEP
2055275720987014528,13.273672,2.7135534,CEP
4201372919186754048,13.098132,1.1595116,CEP
2055310183805791360,15.165516,3.91391,CEP
2055310630482320256,16.737473,4.0592985,CEP
2055317536790012416,16.269777,3.8616934,CEP
2055324236938822272,14.200416,3.516427,CEP
2055324713676219008,19.28356,3.5580158,CEP
4654611643881454208,15.049483,0.7016096,CEP
4654613877264441728,16.341446,0.7829685,CEP
4654617141439458048,15.396107,0.852128,CEP
4654618275310856448,15.532266,0.6760855,CEP
4654624322624800896,14.931545,0.9306936,CEP
5334631376367030272,13.56354,2.353465,CEP
4654630369938572544,15.088539,0.7800894,CEP
4654631744328130688,16.510033,0.80825615,CEP
4654636485971786880,17.369698,0.35082817,CEP
4654641571213147776,15.964907,0.7809229,CEP
4654642705084472704,17.820374,0.71556664,CEP
4654644251272666624,14.679524,0.96605873,CEP
4654649954991856896,15.849164,0.74517727,CEP
246160037616115584,18.49758,2.0939293,CEP
4654659541358372608,16.626049,0.77329636,CEP
4654664420428880128,17.145544,0.79468346,CEP
4654667134861185280,16.093369,0.8253069,CEP
4654668371799143808,17.311295,0.6597252,CEP
4654668612330013952,16.03651,0.83880043,CEP
4654669059006615168,15.241319,0.8500967,CEP
4654671498548068992,16.333782,0.69628525,CEP
4654672765549320960,14.936385,1.0122328,CEP
4654673182174377984,15.453542,0.7778597,CEP
4654679122130157952,18.338821,0.4789219,CEP
4654680019761895168,18.320244,0.9290695,CEP
4654682424947230592,15.627691,0.9012575,CEP
4654686513755942016,15.905209,0.85156536,CEP
4654686891712971648,15.894517,0.91614056,CEP
4654688163023347200,15.760342,0.7317505,CEP
4654688334822030592,16.085955,0.894475,CEP
4654690018449058176,15.744907,0.8831053,CEP
5334675185024180864,11.988045,2.6245546,CEP
1998384927774603520,11.723215,1.7967596,CEP
4654692213158467072,15.85825,0.9031391,CEP
4654695997043515776,12.824946,1.1388454,CEP
4654696615518788480,16.114922,0.8414097,CEP
4654698917621322496,15.867229,0.9581289,CEP
4654699707895240064,15.730775,0.77695465,CEP
4654699914053652864,16.04095,0.6198273,CEP
4654700807406777088,16.221777,0.8583708,CEP
4654702456674216832,15.603923,0.79167175,CEP
4654703620590356608,15.178814,0.8762455,CEP
4310105582554237696,18.75661,3.8562145,CEP
4654708675786884224,15.795509,0.8164635,CEP
4654708950664755584,15.759219,0.87911415,CEP
4654715582094067584,16.280462,0.93041706,CEP
246611563239644544,11.70057,1.7304583,CEP
