ObjectClass,Redshift,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,Teff,logg,FeH
QSO,6.563.585,1.815.317,177.565,1.744.177,1.722.424,1.697.416,2.671.237,2.987.381,1.679.375,1.933.777,2.316.613,-9999,-9999,-9999
QSO,6.562.798,1.815.317,177.565,1.744.177,1.722.424,1.697.416,2.671.237,2.987.381,1.679.375,1.933.777,2.316.613,-9999,-9999,-9999
QSO,57.515,1.948.001,1.821.775,1.739.614,1.689.278,1.646.462,452.113,2.584.447,1.721.138,2.102.487,2.235.816,-9999,-9999,-9999
QSO,4.573.886,1.915.906,182.744,1.772.006,1.740.041,1.716.132,2.756.196,142.976,1.515.506,1.595.419,236.787,-9999,-9999,-9999
QSO,5.120.365,1.910.585,1.849.035,1.810.558,1.766.388,173.146,2.518.331,1.465.444,1.303.255,1.742.637,2.479.107,-9999,-9999,-9999
QSO,6.265.245,1.950.184,1.891.385,1.857.627,1.818.886,1.808.879,2.577.467,142.645,1.719.687,173.233,2.490.867,-9999,-9999,-9999
QSO,6.263.614,1.950.184,1.891.385,1.857.627,1.818.886,1.808.879,2.577.467,142.645,1.719.687,173.233,2.490.867,-9999,-9999,-9999
QSO,6.262.593,1.950.184,1.891.385,1.857.627,1.818.886,1.808.879,2.577.467,142.645,1.719.687,173.233,2.490.867,-9999,-9999,-9999
QSO,6.168.745,1.914.624,1.756.081,1.696.667,1.647.636,1.620.057,271.541,1.565.931,1.614.022,1.823.135,1.606.146,-9999,-9999,-9999
QSO,5.218.846,1.690.853,1.680.391,16.513,1.616.028,1.605.344,1.167.978,2.674.689,1.777.493,1.852.795,1.834.583,-9999,-9999,-9999
QSO,547.813,1.919.739,17.575,1.693.828,1.640.729,1.599.991,3.056.673,1.251.631,1.909.425,160.157,2.126.952,-9999,-9999,-9999
QSO,4.677.902,1.993.125,1.804.764,1.721.909,167.083,1.635.719,3.456.238,1.218.694,1.012.636,1.361.479,1.882.185,-9999,-9999,-9999
QSO,6.553.765,1.888.505,1.833.057,1.790.597,1.752.936,1.727.402,2.661.381,1.866.931,1.357.692,1.178.536,2.127.943,-9999,-9999,-9999
QSO,6.551.804,1.888.505,1.833.057,1.790.597,1.752.936,1.727.402,2.661.381,1.866.931,1.357.692,1.178.536,2.127.943,-9999,-9999,-9999
QSO,6.251.466,2.037.399,1.876.104,1.821.912,1.765.843,1.739.256,5.247.276,1.746.316,2.141.971,1.659.573,2.603.978,-9999,-9999,-9999
QSO,6.250.638,2.037.399,1.876.104,1.821.912,1.765.843,1.739.256,5.247.276,1.746.316,2.141.971,1.659.573,2.603.978,-9999,-9999,-9999
QSO,4.725.674,1.993.677,1.830.952,1.751.646,1.717.404,1.688.642,3.929.869,155.225,2.214.329,1.349.356,2.180.467,-9999,-9999,-9999
QSO,5.922.451,1.898.734,1.786.512,1.723.545,1.680.657,1.651.069,3.123.846,1.703.527,1.067.071,1.642.413,1.451.081,-9999,-9999,-9999
QSO,606.815,189.663,1.791.259,1.747.908,1.717.508,1.685.894,2.672.948,2.405.126,1.592.538,1.029.307,2.217.566,-9999,-9999,-9999
QSO,4.566.712,1.829.696,1.753.595,1.697.611,1.660.475,1.631.099,1.596.258,1.337.498,1.152.155,2.171.319,2.797.046,-9999,-9999,-9999
QSO,4.869.759,1.900.961,1.818.117,177.435,1.738.395,1.707.444,3.103.018,2.390.922,2.010.091,1.642.256,2.459.607,-9999,-9999,-9999
QSO,6.498.668,1.965.341,1.872.452,1.805.941,1.762.946,1.737.602,2.993.174,2.010.573,2.163.674,1.967.985,1.976.746,-9999,-9999,-9999
QSO,4.799.197,1.899.644,1.741.059,1.678.293,1.627.781,1.601.307,3.370.397,2.653.009,166.875,1.999.987,2.035.235,-9999,-9999,-9999
QSO,5.475.951,1.876.212,1.818.416,1.793.657,1.753.005,172.768,2.585.377,247.565,1.860.445,1.548.401,2.035.857,-9999,-9999,-9999
QSO,5.220.335,199.655,1.813.858,1.733.399,1.695.295,1.644.375,4.366.309,2.582.499,2.768.819,2.686.646,1.674.921,-9999,-9999,-9999
QSO,528.083,1.894.878,1.824.913,1.775.836,1.734.299,1.703.058,2.576.356,1.875.605,1.013.976,1.316.381,2.047.086,-9999,-9999,-9999
QSO,5.270.622,1.894.878,1.824.913,1.775.836,1.734.299,1.703.058,2.576.356,1.875.605,1.013.976,1.316.381,2.047.086,-9999,-9999,-9999
