X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-666336.184546492,4493730.38474836,3087,C5,121,31,Santiago (Pza J. de La Redención),540,12112,12110,108
-667492.135356143,4494122.1656408,4258,C5,121,32,Teniente Borges (Plaza Duque),540,12111,12110,109
-667492.135356143,4494122.1656408,0,C5,121,32,Teniente Borges (Plaza Duque),540,12112,12110,110
-668780.630097869,4493208.21111213,2098,43,43,33,Clara de Jesús Montero (Procurador),540,4312,4310,111
-668780.630097869,4493208.21111213,2571,C3,83,33,Clara de Jesús Montero (Procurador),540,8312,8310,112
-668144.13258958,4492542.30367787,1345,40,40,34,Pagés del Corro (Evangelista),540,4012,4010,113
-667744.90836804,4492247.30841785,1363,C3,83,35,Génova (Plaza de Cuba) [M],540,8312,8310,114
-667423.076629105,4491460.69488331,7386,06,6,38,Virgen de Luján (Sebastián Elcano),540,611,610,115
-667423.076629105,4491460.69488331,3209,41,41,38,Virgen de Luján (Sebastián Elcano),540,4112,4110,116
-667423.076629105,4491460.69488331,5183,C2,82,38,Virgen de Luján (Sebastián Elcano),540,8211,8210,117
-666935.153593899,4491611.92104736,5641,C2,82,39,Glorieta Marineros Voluntarios,540,8211,8210,118
-666774.211191431,4492040.49603482,6514,34,34,40,Avenida María Luisa (Teatro Lope de Vega),540,3412,3410,119
-666774.211191431,4492040.49603482,6019,C2,82,40,Avenida María Luisa (Teatro Lope de Vega),540,8211,8210,120
-666774.211191431,4492040.49603482,9811,A6,106,40,Avenida María Luisa (Teatro Lope de Vega),540,10612,10610,121
-666774.211191431,4492040.49603482,9811,A6,106,40,Avenida María Luisa (Teatro Lope de Vega),540,10614,10611,122
-666938.603874724,4493985.33463722,9672,27,27,41,Imagen (Plaza Encarnación),540,2712,2710,123
-666938.603874724,4493985.33463722,6286,32,32,41,Imagen (Plaza Encarnación),540,3212,3210,124
-666308.741531288,4493120.02671657,3964,01,1,42,Menéndez Pelayo (Puerta de La Carne),540,112,110,125
-666308.741531288,4493120.02671657,3250,21,21,42,Menéndez Pelayo (Puerta de La Carne),540,2111,2110,126
-666308.741531288,4493120.02671657,542,C4,84,42,Menéndez Pelayo (Puerta de La Carne),540,8412,8410,127
-666308.741531288,4493120.02671657,786,A1,101,42,Menéndez Pelayo (Puerta de La Carne),540,10111,10110,128
-666308.741531288,4493120.02671657,1191,A1,101,42,Menéndez Pelayo (Puerta de La Carne),540,10113,10111,129
-666308.741531288,4493120.02671657,815,A3,103,42,Menéndez Pelayo (Puerta de La Carne),540,10311,10310,130
-666308.741531288,4493120.02671657,1148,A3,103,42,Menéndez Pelayo (Puerta de La Carne),540,10313,10311,131
-666308.741531288,4493120.02671657,938,A8,110,42,Menéndez Pelayo (Puerta de La Carne),540,11011,11010,132
-666308.741531288,4493120.02671657,952,A8,110,42,Menéndez Pelayo (Puerta de La Carne),540,11013,11011,133
-666165.422106276,4493560.95606984,4332,01,1,43,Recaredo (Puerta Carmona),540,112,110,134
-666165.422106276,4493560.95606984,910,C4,84,43,Recaredo (Puerta Carmona),540,8412,8410,135
-666165.422106276,4493560.95606984,1154,A1,101,43,Recaredo (Puerta Carmona),540,10111,10110,136
-666165.422106276,4493560.95606984,1559,A1,101,43,Recaredo (Puerta Carmona),540,10113,10111,137
-666165.422106276,4493560.95606984,1306,A8,110,43,Recaredo (Puerta Carmona),540,11011,11010,138
