latitude,longitude,soil_moisture
72.725525,102.510376,0.20767584
72.725525,102.88382,0.19955933
72.725525,103.25726,0.17906502
72.725525,103.63071,0.22420424
72.725525,104.00415,0.20636375
72.725525,104.377594,0.1897182
72.725525,104.75104,0.2144938
72.725525,105.497925,0.17689095
72.725525,105.87137,0.2226326
72.725525,106.24481,0.21687126
72.725525,106.618256,0.22589251
72.725525,106.9917,0.22913173
72.725525,107.36514,0.24583137
72.725525,107.73859,0.24939294
72.725525,108.11203,0.20513275
72.725525,108.48547,0.21828604
72.725525,108.858925,0.22469173
72.725525,109.23237,0.25007677
72.725525,109.60581,0.38919637
72.725525,109.979256,0.26232213
72.725525,110.3527,0.25316548
72.725525,110.72614,0.22189759
72.725525,111.09959,0.19802016
72.725525,111.47303,0.19878732
72.725525,111.84647,0.18749663
72.725525,112.21992,0.17738196
72.725525,112.59336,0.17523395
72.725525,112.966805,0.21011971
72.725525,113.34025,0.2144106
72.725525,113.71369,0.25695804
72.725525,114.087135,0.2169774
72.725525,114.46058,0.20438991
72.725525,114.83402,0.22124319
72.725525,115.207466,0.28151137
72.725525,115.58091,0.2496853
72.725525,115.95435,0.2373274
72.725525,116.327805,0.24077614
72.725525,116.70125,0.2102413
72.725525,117.07469,0.23804268
72.725525,117.448135,0.2609022
72.725525,117.82158,0.26544622
72.725525,118.19502,0.22661754
72.725525,118.56847,0.2305327
72.725525,118.94191,0.2680601
72.725525,119.31535,0.25322345
72.725525,119.6888,0.24759589
72.725525,120.06224,0.22145653
72.725525,120.435684,0.23044565
72.725525,120.80913,0.21245232
72.725525,121.18257,0.21861728
72.725525,121.556015,0.22266833
72.725525,121.92946,0.16787122
72.725525,122.3029,0.21058626
72.725525,122.676346,0.20756541
72.725525,123.04979,0.23437183
72.725525,123.42323,0.23622184
72.725525,124.17013,0.26887423
72.725525,124.54357,0.3340117
72.725525,124.917015,0.31628639
72.725525,125.29046,0.34465328
72.725525,125.6639,0.260541
72.725525,126.037346,0.4483606
72.725525,126.41079,0.41928104
72.725525,126.78423,0.4598649
72.725525,127.15768,0.48786387
72.725525,127.53112,0.486309
72.725525,127.904564,0.34392697
72.725525,128.65146,0.33714318
72.725525,141.34854,0.549459
71.80941,-124.17013,0.24582754
71.80941,-123.796684,0.22550993
71.80941,-123.42323,0.21307538
71.80941,-123.04979,0.20367207
71.80941,-122.676346,0.19629931
71.80941,-122.3029,0.211707
71.80941,-121.92946,0.22111489
71.80941,-121.556015,0.21168897
71.80941,-121.18257,0.22270757
71.80941,-120.80913,0.23806964
71.80941,-118.56847,0.2495767
71.80941,-118.19502,0.25931418
71.80941,-117.82158,0.25909868
71.80941,-117.448135,0.24252321
71.80941,-117.07469,0.23661347
71.80941,-116.70125,0.21688713
71.80941,-116.327805,0.23010384
71.80941,-115.95435,0.23967803
71.80941,-115.58091,0.23956051
71.80941,-115.207466,0.23092641
71.80941,-114.83402,0.25506845
71.80941,-114.46058,0.21140832
71.80941,-114.087135,0.20251071
71.80941,-113.71369,0.2038823
71.80941,-113.34025,0.20153698
71.80941,-112.966805,0.1977348
71.80941,-112.59336,0.18499504
71.80941,-112.21992,0.20784222
71.80941,-111.84647,0.21679863
71.80941,-111.47303,0.23264673
71.80941,-111.09959,0.24541393
71.80941,-110.72614,0.2538982
71.80941,-110.3527,0.25878337
71.80941,-109.979256,0.23862644
71.80941,-109.60581,0.2679704
71.80941,-109.23237,0.2677205
71.80941,-108.858925,0.28195754
71.80941,-108.48547,0.24347854
71.80941,-107.36514,0.23728569
71.80941,-106.9917,0.2726698
71.80941,-106.618256,0.29697895
71.80941,-106.24481,0.30967507
71.80941,-105.87137,0.30936655
71.80941,-105.497925,0.30574283
71.80941,-105.12448,0.27953878
71.80941,-104.75104,0.30135843
71.80941,-99.52282,0.35634792
71.80941,-99.149376,0.21110278
71.80941,-98.77593,0.22130315
71.80941,-98.40249,0.20788182
71.80941,-98.029045,0.25704694
71.80941,-97.6556,0.26958603
71.80941,-97.28216,0.3061356
71.80941,-96.908714,0.1924174
71.80941,-95.0415,0.15387252
71.80941,-94.66805,0.2008655
71.80941,-85.33195,0.6372112
71.80941,-84.9585,0.5263436
71.80941,-84.58506,0.31274882
71.80941,-84.21162,0.27729723
71.80941,-83.83817,0.28453013
71.80941,-83.46473,0.2649375
71.80941,-83.091286,0.25231022
71.80941,-82.71784,0.22256233
71.80941,-82.3444,0.20323597
71.80941,-81.970955,0.2079424
71.80941,-81.59751,0.20239674
71.80941,-81.22407,0.2102301
71.80941,-80.850624,0.22206041
71.80941,-80.47718,0.2087954
71.80941,-80.10374,0.23246422
71.80941,-79.73029,0.2324516
71.80941,-79.35685,0.19943278
71.80941,-78.983406,0.22548854
71.80941,-78.609955,0.19774508
71.80941,-78.23651,0.18961741
71.80941,-55.456432,0.7427391
71.80941,-55.08299,0.17816834
71.80941,-54.709545,0.21032886
71.80941,-24.087137,0.1835739
71.80941,-23.713694,0.15122434
71.80941,-23.340248,0.14752759
71.80941,-22.966805,0.7045499
71.80941,51.721992,0.39436182
71.80941,52.095436,0.39535072
71.80941,52.46888,0.28957602
71.80941,52.842323,0.23092024
71.80941,53.215767,0.19193615
71.80941,54.336098,0.17299241
71.80941,54.709545,0.17602298
71.80941,55.08299,0.19323954
71.80941,55.456432,0.6766337
71.80941,68.90041,0.23015751
71.80941,69.27386,0.23024431
71.80941,69.6473,0.22495031
71.80941,70.020744,0.25158778
71.80941,70.39419,0.24194762
71.80941,70.76763,0.27096903
71.80941,71.141075,0.29250637
71.80941,71.51453,0.3030113
71.80941,71.88797,0.24603127
71.80941,72.26141,0.23410375
71.80941,73.75519,0.0356919
71.80941,74.12863,0.12952438
71.80941,74.502075,0.14228484
71.80941,74.87552,0.19567288
71.80941,75.24896,0.20071352
71.80941,76.74274,0.1201673
71.80941,77.11618,0.16632758
71.80941,77.86307,0.2178111
71.80941,78.23651,0.22231483
71.80941,78.983406,0.1902173
71.80941,79.35685,0.17124282
71.80941,79.73029,0.17029639
71.80941,80.10374,0.19458976
71.80941,80.47718,0.20651896
71.80941,80.850624,0.16409273
71.80941,82.3444,0.66771626
71.80941,83.46473,0.1124905
71.80941,83.83817,0.13178992
71.80941,84.21162,0.1721398
71.80941,84.58506,0.17838125
71.80941,84.9585,0.17730066
71.80941,85.33195,0.17941126
71.80941,85.70539,0.18321341
71.80941,86.078835,0.1724905
71.80941,86.452286,0.17892984
