latitude,longitude,soil_moisture,brightness_temperature
73.69126,93.547714,0.22348502,244.62457
73.69126,93.921165,0.24075766,244.65039
73.69126,94.29461,0.2286432,245.80768
73.69126,94.66805,0.21481359,247.78438
73.69126,95.0415,0.19177942,250.47754
73.69126,95.41494,0.19819283,250.27951
73.69126,95.78838,0.2001158,250.68918
73.69126,96.16183,0.2165739,249.79883
73.69126,96.53527,0.24023166,249.09195
73.69126,96.908714,0.20263463,252.26877
73.69126,97.28216,0.2208697,251.09042
73.69126,97.6556,0.1989238,253.1709
73.69126,98.029045,0.20540561,252.53333
73.69126,98.40249,0.18986118,253.82828
73.69126,98.77593,0.2031611,252.47699
73.69126,99.149376,0.19625358,253.10579
73.69126,99.52282,0.17067745,255.39676
73.69126,99.89626,0.16301027,255.26566
73.69126,100.26971,0.15716845,256.7791
73.69126,100.64315,0.14758112,257.61465
73.69126,101.016594,0.15108615,257.1931
73.69126,101.390045,0.17893928,254.35942
73.69126,101.76349,0.16634683,256.28976
73.69126,102.13693,0.1975024,253.14511
73.69126,102.510376,0.20771411,252.41798
73.69126,102.88382,0.19973424,252.99393
73.69126,103.25726,0.19225736,253.60312
73.69126,103.63071,0.17243314,254.953
73.69126,104.00415,0.17935726,254.69716
73.69126,104.377594,0.17480409,255.1404
73.69126,104.75104,0.19532557,252.99045
73.69126,105.12448,0.16679579,255.6406
73.69126,105.497925,0.15345657,257.1833
73.69126,105.87137,0.173264,254.8941
73.69126,106.24481,0.20751159,251.38191
73.69126,106.618256,0.22600943,249.388
73.69126,106.9917,0.22307807,249.30849
73.69126,107.73859,0.15355764,256.6075
73.69126,108.11203,0.069700554,266.28418
73.69126,109.979256,0.6843407,123.40936
73.69126,110.3527,0.23060942,248.1782
73.69126,110.72614,0.3654018,235.09933
73.69126,111.09959,0.45702448,222.5184
73.69126,111.47303,0.4810567,218.18921
73.69126,111.84647,0.38800886,232.87149
73.69126,112.21992,0.23518775,248.98425
73.69126,112.59336,0.10648548,263.41537
73.69126,112.966805,0.5525821,214.53012
73.69126,115.58091,0.5400857,202.04077
73.69126,124.54357,0.6000517,183.56108
73.69126,140.9751,0.670977,163.56946
73.69126,141.34854,0.33415258,231.86299
73.69126,141.72198,0.35557497,229.41899
73.69126,142.09543,0.42589387,219.35547
73.69126,142.46887,0.49272493,210.21953
73.69126,142.84233,0.52255833,200.47208
72.725525,-124.917015,0.40211552,207.69507
72.725525,-124.54357,0.16002174,247.49802
72.725525,-124.17013,0.28297666,230.12625
72.725525,-123.796684,0.2695097,231.41965
72.725525,-123.42323,0.26764026,232.52777
72.725525,-123.04979,0.26146713,232.91495
72.725525,-122.676346,0.25838348,232.75064
72.725525,-122.3029,0.30298096,227.47235
72.725525,-121.92946,0.3015728,223.8665
72.725525,-121.556015,0.29468253,221.41595
72.725525,-121.18257,0.3241552,218.69922
72.725525,-120.80913,0.3361185,219.98868
72.725525,-120.435684,0.3195952,222.05794
72.725525,-120.06224,0.30678377,224.45468
72.725525,-119.6888,0.2473621,227.82321
72.725525,-118.19502,0.61830693,145.52988
72.725525,-117.82158,0.24683206,229.4803
72.725525,-117.448135,0.2659814,225.99503
72.725525,-117.07469,0.26092026,226.52605
72.725525,-116.70125,0.26382706,227.20758
72.725525,-116.327805,0.26582503,226.69304
72.725525,-115.95435,0.2774204,225.80942
72.725525,-115.58091,0.26422986,224.86597
72.725525,-115.207466,0.24983288,225.01411
72.725525,-114.83402,0.25098222,226.41481
72.725525,-114.46058,0.17631927,238.51071
72.725525,-114.087135,0.15671778,243.29251
72.725525,-113.34025,0.38556284,204.43477
72.725525,-112.966805,0.30607468,215.65945
72.725525,-112.59336,0.2736122,221.62175
72.725525,-112.21992,0.22381794,231.55826
72.725525,-111.84647,0.31393576,216.99742
72.725525,-109.979256,0.4191611,202.02522
72.725525,-109.60581,0.4030205,204.09763
72.725525,-109.23237,0.41340902,200.7537
72.725525,-106.9917,0.2722977,220.04132
72.725525,-106.24481,0.26678544,220.18915
72.725525,-105.87137,0.2502921,223.36176
72.725525,-105.497925,0.18324384,241.00691
72.725525,-102.13693,0.20997395,243.11177
72.725525,-101.76349,0.3476361,216.15274
72.725525,-100.26971,0.23412623,233.42218
72.725525,-99.89626,0.2708761,225.7272
72.725525,-99.52282,0.2596084,227.5105
72.725525,-99.149376,0.27777722,226.07419
72.725525,-98.77593,0.22564073,232.38983
72.725525,-98.40249,0.228606,232.91661
