_RAJ2000	_DEJ2000	HIP	Vmag	RAICRS	DEICRS	Plx	B-V	Survey	Chart	Notes	SpType
219.7408767113	72.2901274955	71627	8.05	219.74082142	72.29019594	7.49	0.521	S	 	 	F5
95.7487618096	55.069719091	30347	9.83	95.74876147	55.0697109	1.07	1.156	 	G	 	K0
164.4164621	-31.9162198686	53583	8.91	164.41662566	-31.9162389	5.46	1.017	 	 	 	K2III/IV
231.5717066144	-36.5983545703	75571	6.81	231.57172487	-36.59825798	8.37	1.121	S	 	 	K1III
149.3658879452	29.1720297864	48817	8.38	149.36587862	29.17206221	8.9	0.331	S	 	 	A5
136.6391873445	38.0886131409	44707	7.86	136.63967237	38.08866676	13.43	0.505	S	 	 	F6V
95.6180872333	30.9451737454	30309	8.64	95.61808746	30.94525111	8.21	0.41	 	 	 	F0
270.3883444753	11.2857573351	88272	7.03	270.38829959	11.28575629	14.36	0.354	S	 	 	F2IV-V
114.4648484291	-6.9580093315	37138	6.97	114.46486601	-6.95800046	1.31	-0.104	S	 	 	B9
135.493989211	17.3266606769	44358	8.68	135.49411262	17.32666617	10.49	0.669	S	 	 	G5
200.436108689	34.0620996939	65202	10.6	200.43609044	34.06211768	3.93	0.574	 	G	 	F8
18.2752856034	41.6543031724	5684	7.24	18.27426204	41.65439442	22.36	0.77	S	 	P	G5
225.1269876237	71.4470620904	73443	9.49	225.12703361	71.44706333	0.41	1.45	 	 	 	
142.0871064568	-49.6548277437	46445	7.27	142.08711772	-49.65475315	11.35	0.409	S	 	 	F5IV
222.715617029	-4.1335251875	72618	7.86	222.71582687	-4.13358775	10.33	0.986	S	 	 	G5
40.4912411431	-38.1076866558	12596	8.78	40.49114659	-38.10769001	1.3	1.491	 	 	 	K5III
279.8968494817	-7.2856762857	91495	9.66	279.89687695	-7.28560456	3.73	1.259	 	G	 	G5
66.9243350858	-19.3568034561	20820	8.31	66.92427385	-19.35682397	2.06	0.729	 	 	 	G8III+...
110.7641816461	45.0002400213	35799	11.27	110.764298	45.00023307	34.66	0.87	 	 	 	
161.6941366556	-25.5338319784	52728	7.36	161.69428389	-25.5338041	4.32	1.512	S	 	 	K5III
262.3033017452	22.1324387518	85567	8.0	262.30339143	22.13273404	11.27	0.669	S	 	 	G5
